date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:49	1222/1222	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202019%2023:23:47%20GMT	https://www.foxcoders.com/robots.txt		(from )
18:23:49	69517/69517	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2007:16:20%20GMT	https://www.foxcoders.com/demo/eduaid/	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/index.html	(from )
18:23:49	2212/2212	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2006:41:08%20GMT	https://www.foxcoders.com/demo/eduaid/assets/images/favicon.png	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/images/favicon.png	(from https://www.foxcoders.com/demo/eduaid/)
18:23:49	155758/155758	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2015:29:38%20GMT	https://www.foxcoders.com/demo/eduaid/assets/css/bootstrap.min.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/css/bootstrap.min.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:50	3351/3351	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2015:29:38%20GMT	https://www.foxcoders.com/demo/eduaid/assets/css/owl.carousel.min.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/css/owl.carousel.min.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:50	54456/54456	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2015:29:38%20GMT	https://www.foxcoders.com/demo/eduaid/assets/css/font-awesome.min.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/css/font-awesome.min.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:50	26053/26053	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2015:29:38%20GMT	https://www.foxcoders.com/demo/eduaid/assets/css/aos.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/css/aos.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:50	19778/19778	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Apr%202019%2001:41:04%20GMT	https://www.foxcoders.com/demo/eduaid/assets/css/swiper.min.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/css/swiper.min.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:50	12795/12795	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Apr%202019%2020:48:34%20GMT	https://www.foxcoders.com/demo/eduaid/assets/css/jquery.fancybox.min.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/css/jquery.fancybox.min.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:51	454615/454615	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202019%2007:27:34%20GMT	https://www.foxcoders.com/demo/eduaid/style.css	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/style.css	(from https://www.foxcoders.com/demo/eduaid/)
18:23:51	69517/69517	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2007:16:20%20GMT	https://www.foxcoders.com/demo/eduaid/index.html	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/index-2.html	(from https://www.foxcoders.com/demo/eduaid/)
18:23:51	4285/4285	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2005:33:08%20GMT	https://www.foxcoders.com/demo/eduaid/assets/images/logo.png	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/images/logo.png	(from https://www.foxcoders.com/demo/eduaid/)
18:23:51	1843/1843	---M--	200	added ('OK')	image/png	date:Sun,%2019%20May%202019%2020:04:58%20GMT	https://www.foxcoders.com/demo/eduaid/assets/images/location.png	C:/Users/L%20-%20127/Desktop/HACKATHON/andrea/www.foxcoders.com/demo/eduaid/assets/images/location.png	(from https://www.foxcoders.com/demo/eduaid/)
